Pd,Cu,Ni,P,Zr,Ti,Be,Ag,Al,Mg,Gd,Hf,Y,Sc,Co,Au,La,Fe,Cr,Mo,C,B,Nd,Zn,Si,Ce,Ca,Nb,Er,Mn,Sn,Pb,Li,In,Dy,Ho,Lu,Tb,Pr,W,Ga,Sm,Ta,Yb,Tm,Ge,Pt,V,Sb,Rh,Ba,Sr,Ir,Ru,U,T,Phase,Formula,Dmax,Tg,Tx,Tl
40,30,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMG,Pd40Cu30Ni10P20,72,576.9,655.8,836
0,12.5,10,0,41.2,13.8,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMG,Zr41.2Ti13.8Cu12.5Ni10Be22.5,50,623,672,996
0,27.64,0,0,46,0,10,8.36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMG,Zr46Cu27.64Ag8.36Al8Be10,35,697,813,1129
0,31.64,0,0,46,0,6,8.36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMG,Zr46Cu31.64Ag8.36Al8Be6,35,702,797,1103
0,32,4,0,48,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMG,Ni4Zr48Cu32Al8Ag8,30,693,788,1129
2,34,0,0,48,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMG,Pd2Zr48Cu34Al8Ag8,30,699,794,1140
0,22.9,0,0,0,0,0,6.6,0,59.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMG,Mg59.5Cu22.9Ag6.6Gd11,27,425,472,734
0,36,0,0,46,0,0,8,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMG,Hf2Zr46Cu36Al8Ag8,25,692,794,1147
0,34,2,0,48,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMG,Ni2Zr48Cu34Al8Ag8,25,687,797,1131
0,30,6,0,48,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BMG,Ni6Zr48Cu30Al8Ag8,25,695,779,1131