C,Mn,Si,P,S,Cr,Mo,V,Ni,Cu,Al,melting_method,hot_working_mode,hot_working_process,hot_working_state,hot_working_state_1,å±__å¼ºåº¦,___å¼ºåº¦,å»¶ä¼¸_,___¶ç¼©_
0.336472237,0.336472237,0.693147181,0,0,1.791759469,0.693147181,0.693147181,0,0,0,-1,-1,-1,-1,-1,1520,1590,8,50
0.139761942,0.924258902,0.223143551,0.014888612,0.002995509,0,0.300104592,0,1.413423029,0.652325186,0.703097511,0,-0.333333333,0,-0.333333333,-0.5,1240,1330,16,45
0.151862349,0.97455964,0.231111721,0.011928571,0.002995509,0,0.231111721,0,1.463255402,0.615185639,0.741937345,0,-0.333333333,0,-0.333333333,-0.5,1240,1330,16,45
0.153579088,0.982078472,0.231111721,0.011928571,0.002995509,0,0.231111721,0,1.463255402,0.615185639,0.703097511,0,-0.333333333,0,-0.333333333,-0.5,1240,1330,16,45
0.152721087,0.963174318,0.231111721,0.011928571,0.002995509,0,0.231111721,0,1.463255402,0.615185639,0.797507196,0,-0.333333333,0,-0.333333333,-0.5,1240,1330,16,45
0.155292884,0.947789399,0.2390169,0.011928571,0.001998003,0,0.246860078,0,1.437462648,0.672944473,0.751416089,0,0.333333333,0,-0.333333333,-0.5,973,1171,10,18
0.135404637,0.951657876,0.262364264,0.014888612,0.001998003,0,0.21511138,0,1.439835128,0.631271777,0.737164066,0,-0.333333333,0,-0.333333333,-0.5,1240,1330,16,45
0.131905071,0.996948635,0.207014169,0.005982072,0.002995509,0,0.223143551,0,1.418277407,0.609765572,0.727548607,0,-0.333333333,0,-0.333333333,-0.5,1240,1330,16,45
0.133656385,0.943905899,0.262364264,0.014888612,0.001998003,0,0.21511138,0,1.439835128,0.631271777,0.717839793,0,-0.333333333,0,-0.333333333,-0.5,1240,1330,16,45
0.135404637,0.943905899,0.262364264,0.014888612,0.001998003,0,0.21511138,0,1.439835128,0.631271777,0.693147181,0,-0.333333333,0,-0.333333333,-0.5,1240,1330,16,45