NT,QT,TT,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,RR,dA,dB,dC,Fatigue,Tensile,Fracture,Hardness
865,865,550,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,825,0.05,0.03,0,397,736,1482,235
865,865,550,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,1270,0.07,0.02,0,419,736,1492,249
865,865,550,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1740,0.08,0,0,401,690,1484,239
865,865,550,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,610,0.07,0,0.03,394,790,1440,261
865,865,550,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,825,0.08,0,0,426,720,1435,230
865,865,550,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,610,0.06,0.01,0.01,426,830,1442,262
865,865,550,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,1270,0.08,0.02,0,454,778,1568,258
865,865,550,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,1740,0.06,0,0,418,748,1478,248
865,865,550,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,1270,0.13,0.01,0,416,763,1537,251
865,865,550,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,825,0.07,0.04,0,395,722,1427,227